Date,Artist,Song,Rank,Year,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artists_list,artist_norm_track,artist_canon,name_norm
1964-01-15,The Beatles,I Want To Hold Your Hand,45,1964,4pbG9SUmWIvsROVLF0zF9s,I Want To Hold Your Hand - Remastered 2015,73.0,145747.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],2000-11-13,0.49,0.715,7.0,-5.549,1.0,0.0476,0.386,0.0,0.311,0.866,130.726,4.0,The Beatles,beatles,beatles,i want to hold your hand
1964-01-22,The Beatles,I Want To Hold Your Hand,3,1964,4pbG9SUmWIvsROVLF0zF9s,I Want To Hold Your Hand - Remastered 2015,73.0,145747.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],2000-11-13,0.49,0.715,7.0,-5.549,1.0,0.0476,0.386,0.0,0.311,0.866,130.726,4.0,The Beatles,beatles,beatles,i want to hold your hand
1964-01-22,The Beatles,She Loves You,69,1964,6nEkxYIEnrbYH7h1hJ8Xn6,She Loves You - Mono / Remastered,67.0,140920.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],2000-11-13,0.377,0.916,4.0,-3.199,0.0,0.0481,0.26,0.0,0.074,0.912,75.533,4.0,The Beatles,beatles,beatles,she loves you
1964-01-29,The Beatles,I Want To Hold Your Hand,1,1964,4pbG9SUmWIvsROVLF0zF9s,I Want To Hold Your Hand - Remastered 2015,73.0,145747.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],2000-11-13,0.49,0.715,7.0,-5.549,1.0,0.0476,0.386,0.0,0.311,0.866,130.726,4.0,The Beatles,beatles,beatles,i want to hold your hand
1964-01-29,The Beatles,She Loves You,21,1964,6nEkxYIEnrbYH7h1hJ8Xn6,She Loves You - Mono / Remastered,67.0,140920.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],2000-11-13,0.377,0.916,4.0,-3.199,0.0,0.0481,0.26,0.0,0.074,0.912,75.533,4.0,The Beatles,beatles,beatles,she loves you
1964-01-29,The Beatles,Please Please Me,68,1964,6EHuOufBeL6vk3TvVJB5qo,Please Please Me - Remastered 2009,62.0,120853.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],1963-03-22,0.527,0.48,4.0,-9.61,1.0,0.028,0.334,0.0,0.0702,0.706,139.388,4.0,The Beatles,beatles,beatles,please please me
1964-02-05,The Beatles,I Want To Hold Your Hand,1,1964,4pbG9SUmWIvsROVLF0zF9s,I Want To Hold Your Hand - Remastered 2015,73.0,145747.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],2000-11-13,0.49,0.715,7.0,-5.549,1.0,0.0476,0.386,0.0,0.311,0.866,130.726,4.0,The Beatles,beatles,beatles,i want to hold your hand
1964-02-05,The Beatles,She Loves You,7,1964,6nEkxYIEnrbYH7h1hJ8Xn6,She Loves You - Mono / Remastered,67.0,140920.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],2000-11-13,0.377,0.916,4.0,-3.199,0.0,0.0481,0.26,0.0,0.074,0.912,75.533,4.0,The Beatles,beatles,beatles,she loves you
1964-02-05,The Beatles,Please Please Me,57,1964,6EHuOufBeL6vk3TvVJB5qo,Please Please Me - Remastered 2009,62.0,120853.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],1963-03-22,0.527,0.48,4.0,-9.61,1.0,0.028,0.334,0.0,0.0702,0.706,139.388,4.0,The Beatles,beatles,beatles,please please me
1964-02-05,The Beatles,I Saw Her Standing There,68,1964,3KiexfmhxHvG5IgAElmTkd,I Saw Her Standing There - Remastered 2009,70.0,173947.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],1963-03-22,0.491,0.801,4.0,-9.835,1.0,0.0361,0.27,0.0,0.0665,0.971,160.109,4.0,The Beatles,beatles,beatles,i saw her standing there
1964-02-12,The Beatles,I Want To Hold Your Hand,1,1964,4pbG9SUmWIvsROVLF0zF9s,I Want To Hold Your Hand - Remastered 2015,73.0,145747.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],2000-11-13,0.49,0.715,7.0,-5.549,1.0,0.0476,0.386,0.0,0.311,0.866,130.726,4.0,The Beatles,beatles,beatles,i want to hold your hand
1964-02-12,The Beatles,She Loves You,3,1964,6nEkxYIEnrbYH7h1hJ8Xn6,She Loves You - Mono / Remastered,67.0,140920.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],2000-11-13,0.377,0.916,4.0,-3.199,0.0,0.0481,0.26,0.0,0.074,0.912,75.533,4.0,The Beatles,beatles,beatles,she loves you
1964-02-12,The Beatles,Please Please Me,45,1964,6EHuOufBeL6vk3TvVJB5qo,Please Please Me - Remastered 2009,62.0,120853.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],1963-03-22,0.527,0.48,4.0,-9.61,1.0,0.028,0.334,0.0,0.0702,0.706,139.388,4.0,The Beatles,beatles,beatles,please please me
1964-02-12,The Beatles,I Saw Her Standing There,54,1964,3KiexfmhxHvG5IgAElmTkd,I Saw Her Standing There - Remastered 2009,70.0,173947.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],1963-03-22,0.491,0.801,4.0,-9.835,1.0,0.0361,0.27,0.0,0.0665,0.971,160.109,4.0,The Beatles,beatles,beatles,i saw her standing there
1964-02-19,The Beatles,I Want To Hold Your Hand,1,1964,4pbG9SUmWIvsROVLF0zF9s,I Want To Hold Your Hand - Remastered 2015,73.0,145747.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],2000-11-13,0.49,0.715,7.0,-5.549,1.0,0.0476,0.386,0.0,0.311,0.866,130.726,4.0,The Beatles,beatles,beatles,i want to hold your hand
1964-02-19,The Beatles,She Loves You,2,1964,6nEkxYIEnrbYH7h1hJ8Xn6,She Loves You - Mono / Remastered,67.0,140920.0,0.0,['The Beatles'],['3WrFJ7ztbogyGnTHbHJFl2'],2000-11-13,0.377,0.916,4.0,-3.199,0.0,0.0481,0.26,0.0,0.074,0.912,75.533,4.0,The Beatles,beatles,beatles,she loves you
